Analysis	Identifier 2	Identifier 1	d 15N/14N Calculated	N %	d 13C/12C Calculated	C %	d 34S/32S Calculated	S %	Comment 1	Comment 2
16228	Muscle	BH01562	17.86	14.26	-17.46	46.21	7.6	1.42		
16229	Muscle	BH00445	20.7	14.12	-26.34	47.35	0.55	1.19		
16230	Muscle	BH00445	20.81	14.23	-26.31	47.49	0.4	1.20		
16231	Muscle	BH00445	20.72	14.12	-26.32	47.71	0.41	1.20		
16235	Muscle	BH01564	17.76	14.54	-18.84	45.93	8.3	1.51		
16236	Muscle	BH01564	17.77	14.41	-18.84	45.73	8.26	1.53		
16237	Muscle	BH01564	17.77	14.43	-18.79	45.82	8.35	1.52		
16238	Muscle	BH00385	17.97	14.04	-21.82	46.37	3.89	1.20		
16239	Muscle	BH00385	17.97	14.16	-21.83	46.74	3.59	1.21		
16240	Muscle	BH00385	18	14.01	-21.84	45.89	3.55	1.20		
16241	Muscle	BH00681	14.45	13.89	-17.23	45.39	9.4	1.35		
16242	Muscle	BH00681	14.59	13.79	-17.24	45.15	9.45	1.35		
16243	Muscle	BH00681	14.49	13.98	-17.19	45.52	9.48	1.36		
16244	Muscle	BH01582	17.64	14.15	-18.17	45.08	7.87	1.42		
16245	Muscle	BH01582	17.64	14.26	-18.14	45.44	7.89	1.43		
16246	Muscle	BH01582	17.55	14.22	-18.1	45.27	7.94	1.44		
16282	Muscle	BH91403A	15.75	13.32	-20.21	50.35	9.63	1.13		
16283	Muscle	BH91403A	15.63	13.21	-20.06	49.64	9.76	1.05		
16284	Muscle	BH91403A	15.72	13.33	-20.14	50.26	9.84	1.10		
16285	Muscle	BH91403B	15.92	15.01	-19.31	48.82	9.63	1.23		
16286	Muscle	BH91403B	15.95	14.99	-19.26	48.53	9.54	1.22		
16287	Muscle	BH91403B	16	15.01	-19.27	48.12	9.51	1.23		
16288	Muscle	BH91395A	15.78	14.09	-19.62	48.53	11.53	1.22		
16289	Muscle	BH91395A	15.76	14.17	-19.60	49.05	11.81	1.25		
16290	Muscle	BH91395A	15.67	14.28	-19.65	49.42	11.78	1.28		
16291	Muscle	BH91395B	15.28	12.88	-20.88	51.55	11.71	1.04		
16292	Muscle	BH91395B	15.22	13.17	-20.7	50.96	11.86	1.09		
16293	Muscle	BH91395B	15.3	13.05	-20.82	51.36	11.66	1.04		
16297	Muscle	BH91415A	16.29	14.92	-17.59	48.69	7.88	1.16		
16298	Muscle	BH91415A	16.13	14.87	-17.35	48.30	7.91	1.13		
16299	Muscle	BH91415A	16.31	14.94	-17.55	47.99	7.87	1.19		
16300	Muscle	BH91415B	16.19	15.00	-18.04	49.42	7.95	1.21		
16301	Muscle	BH91415B	16.25	14.79	-18.01	49.21	7.68	1.17		
16302	Muscle	BH91415B	16.3	14.79	-17.99	48.65	7.88	1.20		
16303	Muscle	BH91437A	15.85	14.11	-19.21	49.20	11.26	1.14		
16304	Muscle	BH91437A	15.88	13.93	-19.3	49.67	11.56	1.16		
16305	Muscle	BH91437A	15.84	13.82	-19.29	49.26	11.82	1.16		
16306	Muscle	BH91437B	15.32	12.66	-20.36	52.46	11.56	0.87		
16307	Muscle	BH91437B	16.06	13.10	-20.4	51.86	11.66	1.12		
16308	Muscle	BH91437B	15.96	13.50	-20.14	51.46	11.62	1.10		
16312	Muscle	BH91413A	16.32	12.94	-19.57	51.00	9.4	1.09		
16313	Muscle	BH91413A	16.35	13.06	-19.49	50.98	9.57	1.07		
16314	Muscle	BH91413A	14.98	13.42	-19.49	53.81	9.65	1.44	Only 195 µg Amount	
16315	Muscle	BH91413B	16.59	13.02	-19.55	50.88	9.07	1.02		
16316	Muscle	BH91413B	16.41	13.06	-19.68	51.89	9.16	1.02		
16317	Muscle	BH91413B	16.39	13.02	-19.65	51.44	9.17	1.01		
16318	Muscle	BH91424A	15.59	15.12	-18.86	48.40	9.53	1.12		
16319	Muscle	BH91424A	15.5	14.82	-19.15	48.20	9.62	1.15		
16320	Muscle	BH91424A	15.53	14.93	-19.09	48.62	9.74	1.14		
16321	Muscle	BH91424B	15.58	14.52	-19.67	48.93	9.99	1.14		
16322	Muscle	BH91424B	15.56	14.61	-19.61	48.60	9.84	1.16		
16323	Muscle	BH91424B	15.16	14.91	-18.85	48.08	9.61	0.98		
16327	Muscle	BH91423A	16.24	14.29	-17.32	47.04	8.05	1.05	not Enough Material for Triplets	
16328	Muscle	BH91423A	15.84	14.33	-17.46	48.30	8.37	1.15	not Enough Material for Triplets	
16329	Muscle	BH91423B	16.21	14.53	-16.97	47.39	7.91	0.97	not Enough Material for Triplets	
16330	Muscle	BH91427A	16.25	14.43	-18.15	47.92	10.05	1.07		
16331	Muscle	BH91427A	16.23	14.38	-18.15	48.77	10.1	1.08		
16332	Muscle	BH91427A	16.27	14.29	-18.2	48.30	10.22	1.07		
16333	Muscle	BH91427B	16.42	14.44	-18.35	49.34	10.29	1.14		
16334	Muscle	BH91427B	16.52	14.13	-18.35	47.79	10.17	1.13		
16335	Muscle	BH91427B	16.38	14.56	-18.37	48.67	10.53	1.13		
16336	Muscle	BH01881	16.67	14.42	-16.79	46.37	10.12	1.34		
16337	Muscle	BH01881	16.66	14.31	-16.82	46.51	10.56	1.38		
16338	Muscle	BH01881	16.69	14.19	-16.7	45.47	10.21	1.29		
16364	Muscle	BH01817	10.83	14.44	-26.13	45.07	2.9	1.64		
16365	Muscle	BH01817	10.78	14.18	-26.18	45.37	3.01	1.54		
16366	Muscle	BH01817	10.84	14.24	-26.15	45.26	2.71	1.58		
16367	Muscle	BH01889	16.28	14.28	-16.98	45.89	8.39	1.43		
16368	Muscle	BH01889	16.37	14.09	-16.9	45.65	8.8	1.41		
16369	Muscle	BH01889	16.37	14.05	-16.92	45.20	8.99	1.45		
16370	Muscle	BH01887	17.54	14.08	-18.55	45.33	9.04	1.46		
16371	Muscle	BH01887	17.53	14.08	-18.63	45.27	9.16	1.51		
16372	Muscle	BH01887	17.49	14.15	-18.61	45.85	9.11	1.43		
16373	Muscle	BH01888	17.49	13.82	-17.98	45.78	8.2	1.47		
16374	Muscle	BH01888	17.4	13.91	-17.99	45.26	8.16	1.42		
16375	Muscle	BH01888	17.43	13.99	-18.02	45.47	8.09	1.43		
16379	Muscle	BH01886	16.1	14.13	-17.03	45.15	7.17	1.40		
16380	Muscle	BH01886	16.09	14.01	-17.07	45.03	7.38	1.39		
16381	Muscle	BH01886	16.12	14.33	-16.97	45.44	7.14	1.50		
16382	Muscle	BH01876	11.98	14.23	-26.71	45.71	2.85	1.55		
16383	Muscle	BH01876	12.04	14.15	-26.71	45.30	2.51	1.54		
16384	Muscle	BH01876	12.01	14.12	-26.72	45.24	2.35	1.55		
16385	Muscle	BH01890	17.61	13.90	-18.5	45.22	8.21	1.56		
16386	Muscle	BH01890	17.59	13.85	-18.43	44.28	8.86	1.57		
16387	Muscle	BH01890	17.63	13.89	-18.47	44.81	8.86	1.54		
16388	Muscle	BH01892	16.24	14.07	-16.82	45.72	7.68	1.46		
16389	Muscle	BH01892	16.26	14.16	-16.74	46.16	7.41	1.47		
16390	Muscle	BH01892	16.2	14.13	-16.76	45.81	7.46	1.44		
16394	Muscle	BH01882	15.57	13.89	-16.41	44.95	8.01	1.32		
16395	Muscle	BH01882	15.52	14.09	-16.45	44.89	8.33	1.43		
16396	Muscle	BH01882	15.54	13.90	-16.45	44.44	8.39	1.37		
16397	Muscle	BH01884	15.83	13.99	-16.71	45.59	7.9	1.41		
16398	Muscle	BH01884	15.85	14.11	-16.75	46.78	7.8	1.36		
16399	Muscle	BH01884	15.88	14.12	-16.73	45.61	7.83	1.34		
16400	Muscle	BH01883	17.02	14.18	-18.28	45.29	10.06	1.50		
16401	Muscle	BH01883	17.02	14.22	-18.27	45.20	10.27	1.48		
16402	Muscle	BH01883	17.05	14.21	-18.31	45.71	10.25	1.52		
16403	Muscle	BH01880	16.58	13.88	-17.6	44.96	9.75	1.39		
16404	Muscle	BH01880	16.08	13.95	-17.54	44.69	9.69	1.40		
16405	Muscle	BH01880	16.15	14.00	-17.57	44.97	9.65	1.45		
16409	Muscle	BH91410	16.12	14.11	-18.78	45.42	9.09	1.17		
16410	Muscle	BH91410	16.13	14.22	-18.82	45.97	9.29	1.29		
16411	Muscle	BH91410	16.15	14.07	-18.79	45.27	9.44	1.20		
16412	Muscle	BH01891	17.42	13.89	-19.01	44.99	9.76	1.55		
16413	Muscle	BH01891	17.5	13.77	-19.12	44.73	9.79	1.55		
16414	Muscle	BH01891	17.51	13.76	-19.13	45.17	9.74	1.53		
16415	Muscle	BH91430	15.62	14.15	-17.64	45.20	7.68	1.15		
16416	Muscle	BH91430	15.68	14.31	-17.72	45.85	7.33	1.17		
16417	Muscle	BH91430	15.68	14.23	-17.59	45.24	7.35	1.19		
16418	Muscle	BH01885	17.19	13.86	-18.90	45.49	9.77	1.41		
16419	Muscle	BH01885	17.11	13.86	-18.9	45.36	9.91	1.43		
16420	Muscle	BH01885	17.09	13.89	-18.88	45.65	10.15	1.40		
16447	Muscle	BH00369	16.69	13.77	-24.74	46.11	3.14	1.24		
16448	Muscle	BH00369	16.67	13.72	-24.67	45.52	3.13	1.25		
16449	Muscle	BH00369	16.7	13.65	-24.66	45.36	3.11	1.25		
16450	Muscle	BH00351	19.05	12.05	-26.2	48.87	4.23	1.01		
16451	Muscle	BH00351	19.15	11.95	-26.23	49.50	4.32	1.00		
16452	Muscle	BH00351	19.14	11.88	-26.23	50.02	4.17	1.01		
16453	Muscle	BH00560	17.07	13.85	-21.41	44.96	7.27	1.34		
16454	Muscle	BH00560	17.04	14.18	-21.41	45.59	7.35	1.37		
16455	Muscle	BH00560	17.03	13.99	-21.42	45.80	7.4	1.39		
16456	Muscle	BH01590	15.06	14.02	-16.55	47.02	9.14	1.28		
16457	Muscle	BH01590							Sample didnt fall into reactor	
16458	Muscle	BH01590	15.04	14.62	-16.47	47.88	9.52	2.50	Sample measured together with sample before	
16462	Muscle	BH00370	16.8	13.19	-24.61	45.66	3.04	1.24		
16463	Muscle	BH00370	16.79	13.54	-24.65	46.69	2.81	1.26		
16464	Muscle	BH00370	16.84	13.18	-24.63	46.34	2.75	1.27		
16465	Muscle	BH00056	14.48	13.78	-16.24	45.39	8.47	1.35		
16466	Muscle	BH00056	14.5	13.80	-16.29	44.91	8.99	1.32		
16467	Muscle	BH00056	14.55	13.89	-16.27	45.26	9.04	1.35		
16468	Muscle	BH01824	15.6	14.11	-16.71	46.27	8.52	1.30		
16469	Muscle	BH01824	15.65	13.96	-16.77	46.18	8.61	1.28		
16470	Muscle	BH01824	15.64	13.92	-16.7	45.76	8.53	1.28		
16471	Muscle	BH00378	16.67	13.46	-24.8	43.74	3.04	1.27		
16472	Muscle	BH00378	16.65	13.70	-24.77	44.24	2.54	1.29		
16473	Muscle	BH00378	16.72	13.94	-24.82	45.42	2.53	1.25		
16477	Muscle	BH01601	16.26	13.98	-17.17	46.13	8.01	1.34		
16478	Muscle	BH01601	16.3	13.68	-17.08	45.62	8.49	1.36		
16479	Muscle	BH01601	16.3	13.87	-17.03	45.77	8.45	1.34		
16480	Muscle	BH00372	16.55	12.55	-25.51	46.03	3.16	1.16		
16481	Muscle	BH00372	16.5	12.31	-25.49	45.44	2.84	1.15		
16482	Muscle	BH00372	16.62	12.31	-25.45	44.95	2.76	1.17		
16483	Muscle	BH00554	16.47	13.99	-22.07	45.26	6.8	1.48		
16484	Muscle	BH00554	16.45	13.82	-22.14	45.73	7.23	1.50		
16485	Muscle	BH00554	16.52	13.80	-22.12	44.92	7.22	1.48		
16486	Muscle	BH01719	14.54	13.91	-16.1	45.64	6.77	1.59		
16487	Muscle	BH01719	14.55	13.85	-16.1	45.18	6.66	1.66		
16488	Muscle	BH01719	14.5	13.96	-16.06	45.59	6.76	1.60		
16492	Muscle	BH00362	16.87	13.52	-25.4	46.73	3.09	1.33		
16493	Muscle	BH00362	16.87	13.33	-25.35	46.36	3	1.41		
16494	Muscle	BH00362	16.89	13.32	-25.42	46.05	2.74	1.39		
16495	Muscle	BH00366	16.91	9.83	-26.38	51.12	2.26	0.97		
16496	Muscle	BH00366	16.74	9.89	-26.46	52.37	2.41	0.97		
16497	Muscle	BH00366	16.82	9.80	-26.39	51.07	2.48	1.01		
16498	Muscle	BH01705	14.4	13.42	-16.25	44.83	7.32	1.48		
16499	Muscle	BH01705	14.46	13.32	-16.15	44.17	7.64	1.40		
16500	Muscle	BH01705	14.35	13.54	-16.2	44.58	7.86	1.51		
16501	Muscle	BH01816	14.95	13.32	-16.17	44.64	9.12	1.59		
16502	Muscle	BH01816	14.89	13.38	-16.21	44.88	9.29	1.57		
16503	Muscle	BH01816	15.02	13.25	-16.17	44.86	9.1	1.37		
16537	Muscle	BH00364	16.45	13.53	-24.95	45.70	2.49	1.28		
16538	Muscle	BH00364	17	13.57	-24.96	46.08	2.36	1.25		
16539	Muscle	BH00364	16.94	13.50	-24.91	45.53	2.33	1.24		
16540	Muscle	BH00366	17.12	12.11	-23.68	46.18	3.38	1.25		
16541	Muscle	BH00366	17.14	12.21	-23.61	46.31	3.59	1.26		
16542	Muscle	BH00366	17.15	12.20	-23.63	45.86	3.54	1.25		
16543	Muscle	BH01741	12.17	13.82	-26.71	44.60	2	1.43		
16544	Muscle	BH01741	12.55	13.68	-26.67	44.01	2.02	1.44		
16545	Muscle	BH01741	12.05	13.82	-26.64	44.24	2.03	1.46		
16546	Muscle	BH01589	14.98	13.46	-17.37	45.01	8.88	1.32		
16547	Muscle	BH01589	14.4	13.78	-17.35	45.11	9.31	1.30		
16548	Muscle	BH01589	14.45	13.72	-17.3	45.32	9.35	1.27		
16552	Muscle	BH01819	15.79	13.48	-17.37	43.91	9.34	1.42		
16553	Muscle	BH01819	15.34	13.47	-17.4	44.01	9.56	1.40		
16554	Muscle	BH01819	15.41	13.72	-17.42	44.78	9.96	1.43		
16555	Muscle	BH01709	15.28	13.87	-16.97	45.10	8.47	1.39		
16556	Muscle	BH01709	15.39	13.70	-16.99	44.62	8.47	1.41		
16557	Muscle	BH01709	15.29	13.82	-16.95	44.99	8.35	1.38		
16558	Muscle	BH01715	13.82	13.69	-16.61	45.01	8.34	1.33		
16559	Muscle	BH01715	13.88	13.63	-16.59	45.07	8.53	1.33		
16562	Muscle	BH01763	13.51	13.89	-17	46.12	8.25	1.31		
16563	Muscle	BH01763	13.51	13.91	-17.01	46.57	8	1.31		
16567	Muscle	BH01789	15.57	13.39	-17.81	44.54	8.34	1.28		
16568	Muscle	BH01789	15.92	13.31	-17.71	43.82	8.48	1.26		
16569	Muscle	BH01789	15.56	13.38	-17.73	44.94	8.82	1.28		
16570	Muscle	BH01737	15.7	13.88	-18.95	44.95	8.49	1.37		
16571	Muscle	BH01737	15.64	13.98	-18.99	44.93	8.59	1.38		
16572	Muscle	BH01737	15.66	13.81	-18.98	44.79	8.43	1.36		
16573	Muscle	BH00352	19.06	13.30	-24.86	45.49	5.53	1.11		
16574	Muscle	BH00352	19.51	13.04	-24.95	44.71	5.05	1.11		
16575	Muscle	BH00352	19.12	12.83	-24.89	44.22	5.22	1.06		
17618	Muscle	BH01893	15.96	13.56	-17.09	44.21	12.11	1.30		
17619	Muscle	BH01893	16	13.45	-17.1	44.07	12.1	1.28		
17620	Muscle	BH01893	15.9	13.54	-17.04	43.78	11.93	1.25		
17621	Muscle	BH01897	16.31	13.74	-16.47	44.36	11.68	1.29		
17622	Muscle	BH01897	16.34	13.66	-16.48	43.79	12.23	1.27		
17623	Muscle	BH01897	16.35	13.74	-16.49	44.36	11.98	1.31		
17624	Muscle	BH01898	16	13.60	-16.74	43.80	11.85	1.27		
17625	Muscle	BH01898	15.99	13.32	-16.78	43.25	12.33	1.23		
17626	Muscle	BH01898	15.99	13.77	-16.74	44.60	11.97	1.26		
17627	Muscle	BH01899	15.94	13.83	-16.81	44.36	11.69	1.35		
17628	Muscle	BH01899	16.02	13.86	-16.82	44.54	11.59	1.32		
17629	Muscle	BH01899	15.96	13.94	-16.76	44.57	11.38	1.35		
17633	Muscle	BH01902	16.11	13.65	-16.32	44.23	11.37	1.34		
17634	Muscle	BH01902	16.23	13.55	-16.32	43.99	11.74	1.30		
17635	Muscle	BH01902	16.15	13.43	-16.3	43.33	11.71	1.35		
17636	Muscle	BH01903	15.42	13.71	-18.01	43.82	7.56	1.16		
17637	Muscle	BH01903	15.5	13.71	-18.01	44.11	6.95	1.17		
17638	Muscle	BH01903	15.45	13.69	-18.06	44.15	7.1	1.14		
17639	Muscle	BH01904	14.38	13.57	-19.24	43.94	5.46	1.15		
17640	Muscle	BH01904	14.37	13.61	-19.98	44.32	5.75	1.11		
17641	Muscle	BH01904	14.36	13.55	-19.98	43.94	5.61	1.17		
17642	Muscle	BH01906	16.72	13.67	-19.23	44.30	14.54	1.40		
17643	Muscle	BH01906	16.93	13.37	-19.22	43.64	15.08	1.29		
17644	Muscle	BH01906	16.7	13.66	-19.26	44.25	14.99	1.37		
17648	Muscle	BH01722	17.49	13.72	-18.39	44.69	11.26	1.24		
17649	Muscle	BH01722	17.44	13.64	-18.48	44.26	11.53	1.27		
17650	Muscle	BH01722	17.49	13.63	-18.43	44.15	11.39	1.28		
17651	Muscle	BH01908	16.59	13.92	-18.01	44.66	14.53	1.34		
17652	Muscle	BH01908	16.61	13.78	-18.03	44.60	14.88	1.33		
17653	Muscle	BH01908	16.61	13.91	-18.03	44.75	14.53	1.30		
17654	Muscle	BH01922	16.63	13.75	-17.91	43.88	11.86	1.36		
17655	Muscle	BH01922	16.66	13.79	-17.95	44.13	11.24	1.38		
17656	Muscle	BH01922	16.74	13.97	-17.93	44.96	11.53	1.35		
17657	Muscle	BH90307	16.22	13.62	-18.97	44.46	11.5	1.38		
17658	Muscle	BH90307	16.66	13.56	-18.96	44.86	11.65	1.32		
17659	Muscle	BH90307	16.32	13.41	-18.98	44.16	11.72	1.35		
17663	Muscle	BH90928	15.87	13.34	-16.73	43.60	10.66	1.25		
17664	Muscle	BH90928	15.76	13.61	-16.69	44.37	10.5	1.32		
17665	Muscle	BH90928	15.81	13.37	-16.68	43.65	10.24	1.30		
17666	Muscle	BH90981	17.2	13.39	-17.07	44.39	11.58	1.37		
17667	Muscle	BH90981	17.2	13.40	-17.05	44.26	11.87	1.40		
17668	Muscle	BH90981	17.3	13.15	-16.89	43.85	12.3	1.37		
17669	Muscle	BH91013	15.68	13.59	-21.76	44.43	11.06	1.05		
17670	Muscle	BH91013	15.95	13.54	-21.75	44.02	10.49	1.06		
17671	Muscle	BH91013	16.01	13.30	-21.81	43.58	10.15	1.10		
17672	Muscle	BH91045	16.41	12.86	-22.29	40.81	9.48	1.03		
17673	Muscle	BH91045	16.53	13.63	-22.23	43.27	9.73	1.03		
17674	Muscle	BH91045	16.51	11.72	-22.23	37.05	10.09	0.93		
17701	Muscle	BH91050	16.39	14.16	-21.63	43.44	11.6	0.93	Added Missing Sequence	
17702	Muscle	BH91050	16.41	13.64	-21.8	43.38	11.39	0.94		
17703	Muscle	BH91050	16.35	14.22	-21.78	44.62	10.39	0.96		
17704	Muscle	BH91053	14.99	14.09	-21.83	44.72	11.07	0.98		
17705	Muscle	BH91053	15.04	13.84	-21.83	43.88	11.19	0.97		
17706	Muscle	BH91053	15.04	12.90	-21.82	41.30	11.05	0.93		
17707	Muscle	BH91054	15.89	13.50	-16.99	44.44	12.47	1.28		
17708	Muscle	BH91054	16.02	13.38	-17	44.38	12.7	1.33		
17709	Muscle	BH91054	16.15	13.37	-17	44.42	12.3	1.29		
17710	Muscle	BH91068	16.26	13.65	-21.84	44.38	10.7	1.02		
17711	Muscle	BH91068	16.2	13.71	-21.87	44.53	10.34	1.00		
17712	Muscle	BH91068	16.17	13.62	-21.78	43.90	11.16	0.99		
17716	Muscle	BH91117	14.78	14.01	-17.83	44.94	6.7	1.36		
17717	Muscle	BH91117	14.77	14.03	-17.82	44.26	6.51	1.35		
17718	Muscle	BH91117	14.9	13.74	-17.86	44.48	6.06	1.36		
17719	Muscle	BH91328	16.44	13.97	-19.26	44.33	7.32	1.29		
17720	Muscle	BH91328	16.57	13.57	-19.25	44.49	7.19	1.31		
17721	Muscle	BH91328	16.39	14.01	-19.24	44.57	7.34	1.34		
17722	Muscle	BH01556	17.16	13.96	-18.62	45.79	10.15	1.15		
17723	Muscle	BH01556	17.07	14.06	-18.59	46.02	10.75	1.14		
17724	Muscle	BH01556	17.02	13.95	-18.6	45.00	10.26	1.15		
17725	Muscle	BH01598	16.51	13.60	-18.9	44.47	12.82	1.25		
17726	Muscle	BH01598	16.53	13.54	-18.89	44.41	12.44	1.45		
17727	Muscle	BH01598	16.46	13.75	-18.87	43.83	13.21	1.26		
17731	Muscle	BH01719	14.35	13.47	-15.78	43.21	9.44	1.31		
17732	Muscle	BH01719	14.41	13.31	-15.8	43.68	9.12	1.28		
17733	Muscle	BH01719	14.39	13.53	-15.77	42.97	9.55	1.30		
17734	Muscle	BH01737	15.84	13.58	-18.72	43.23	11.55	1.25		
17735	Muscle	BH01737	15.91	13.32	-18.76	43.24	11.6	1.25		
17736	Muscle	BH01737	15.75	13.66	-18.75	43.80	11.69	1.35		
17737	Muscle	BH01741	12.35	13.58	-26.45	43.72	4.31	1.33		
17738	Muscle	BH01741	12.29	13.75	-26.47	42.75	3.61	1.35		
17739	Muscle	BH01741	12.25	13.73	-26.5	43.54	4.16	1.34		
17740	Muscle	BH90970	17.21	12.91	-21.39	42.00	11.43	1.26		
17741	Muscle	BH90970	17.33	13.44	-21.32	43.23	11.67	1.26		
17742	Muscle	BH90970	17.22	13.74	-21.32	43.31	11.67	1.30		
17746	Muscle	BF00113	15.9	13.46	-21.14	41.98	14.99	1.53		
17747	Muscle	BF00113	15.88	12.71	-21.23	41.92	14.63	1.51		
17748	Muscle	BF00113	15.75	13.36	-21.19	42.95	14.7	1.57		
17749	Muscle	BF00115	16.29	13.15	-20.69	42.98	14	1.40		
17750	Muscle	BF00115	16.35	12.95	-20.68	42.91	13.88	1.40		
17751	Muscle	BF00115	16.45	10.34	-20.76	34.66	14.49	1.12		
17752	Muscle	BF00116	16	12.82	-21.01	42.98	14.46	1.57		
17753	Muscle	BF00116	15.98	12.86	-20.99	42.72	14.65	1.44		
17754	Muscle	BF00116	15.9	11.60	-21.03	38.76	14.95	1.30		
17755	Muscle	BF00118	16.04	12.90	-20.9	43.29	15.08	1.58		
17756	Muscle	BF00118	16.09	12.28	-20.92	41.85	15.12	1.52		
17757	Muscle	BF00118	16.16	12.69	-20.92	43.21	15.39	1.49		
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
